File Created on  2/15, at 13:50:51:340
#Frame RunTime Hour Min Sec mSec ImageTimeStmp
2 0.011000 13 51  0 255 366167072
5 0.041000 13 51  0 285 366167072
9 0.081000 13 51  0 325 366167072
12 0.111000 13 51  0 355 366167072
16 0.151000 13 51  0 395 366646539
19 0.181000 13 51  0 425 366966752
22 0.211000 13 51  0 455 367287167
25 0.241000 13 51  0 485 367606915
29 0.281000 13 51  0 525 368246976
32 0.310000 13 51  0 555 368567577
35 0.341000 13 51  0 585 368887175
39 0.381000 13 51  0 625 369207026
42 0.411000 13 51  0 655 369527407
45 0.440000 13 51  0 685 369847608
49 0.480000 13 51  0 725 370166365
52 0.510000 13 51  0 755 370166365
55 0.541000 13 51  0 785 370645902
59 0.581000 13 51  0 825 370966211
62 0.611000 13 51  0 855 371285938
65 0.641000 13 51  0 885 371605820
69 0.681000 13 51  0 925 372246441
72 0.711000 13 51  0 955 372246441
75 0.741000 13 51  0 985 372886335
79 0.781000 13 51  1  25 373206159
82 0.810000 13 51  1  55 373526134
85 0.840000 13 51  1  85 373846256
89 0.880000 13 51  1 125 374166288
92 0.911000 13 51  1 155 374166288
95 0.941000 13 51  1 185 374646087
99 0.981000 13 51  1 225 374966212
102 1.011000 13 51  1 255 375286340
105 1.041000 13 51  1 285 375926512
109 1.081000 13 51  1 325 376246345
112 1.111000 13 51  1 355 376566456
115 1.141000 13 51  1 385 376886731
119 1.181000 13 51  1 425 377206459
122 1.211000 13 51  1 455 377526834
125 1.241000 13 51  1 485 377847020
129 1.281000 13 51  1 525 378167106
132 1.310000 13 51  1 555 378167106
135 1.340000 13 51  1 585 378646456
139 1.380000 13 51  1 625 378966759
142 1.411000 13 51  1 655 379286878
145 1.441000 13 51  1 686 379926728
149 1.481000 13 51  1 725 380247758
152 1.510000 13 51  1 755 380567877
155 1.540000 13 51  1 785 380888039
159 1.580000 13 51  1 825 381207863
162 1.611000 13 51  1 855 381528069
165 1.641000 13 51  1 885 381848176
169 1.681000 13 51  1 925 382168443
172 1.711000 13 51  1 955 382168443
175 1.741000 13 51  1 985 382647911
179 1.781000 13 51  2  25 382968144
182 1.811000 13 51  2  55 383288167
185 1.841000 13 51  2  85 383608088
189 1.882000 13 51  2 126 384248166
192 1.911000 13 51  2 155 384568249
195 1.941000 13 51  2 185 384888516
199 1.981000 13 51  2 225 385208388
202 2.011000 13 51  2 255 385528444
205 2.041000 13 51  2 285 385848503
209 2.081000 13 51  2 325 386168601
212 2.111000 13 51  2 355 386168601
216 2.151000 13 51  2 395 386648301
219 2.181000 13 51  2 425 386968453
222 2.212000 13 51  2 455 387288599
226 2.251000 13 51  2 495 387608499
229 2.281000 13 51  2 525 388248586
232 2.311000 13 51  2 555 388568727
236 2.351000 13 51  2 595 388888804
239 2.381000 13 51  2 625 389208646
242 2.411000 13 51  2 655 389528804
246 2.451000 13 51  2 695 389849125
249 2.481000 13 51  2 725 390169229
252 2.511000 13 51  2 755 390169229
256 2.551000 13 51  2 795 390496355
259 2.581000 13 51  2 825 390976257
262 2.611000 13 51  2 855 391296620
266 2.651000 13 51  2 895 391936358
269 2.681000 13 51  2 925 392256336
272 2.711000 13 51  2 955 392576431
276 2.751000 13 51  2 995 392896809
279 2.781000 13 51  3  25 393216486
282 2.811000 13 51  3  55 393536481
286 2.851000 13 51  3  95 393856622
289 2.881000 13 51  3 125 394176726
292 2.911000 13 51  3 155 394176726
296 2.951000 13 51  3 195 394497101
299 2.981000 13 51  3 225 394976677
302 3.011000 13 51  3 255 395296998
306 3.051000 13 51  3 295 395616578
309 3.081000 13 51  3 325 396256717
312 3.111000 13 51  3 355 396576800
316 3.151000 13 51  3 395 396897230
319 3.181000 13 51  3 425 397216836
322 3.211000 13 51  3 455 397537167
326 3.251000 13 51  3 495 397857005
329 3.281000 13 51  3 525 398177390
332 3.311000 13 51  3 555 398177390
336 3.351000 13 51  3 595 398497247
339 3.381000 13 51  3 625 398977417
342 3.411000 13 51  3 655 399297231
346 3.451000 13 51  3 695 399617001
349 3.481000 13 51  3 725 400251771
352 3.511000 13 51  3 755 400572170
356 3.551000 13 51  3 795 400892274
359 3.581000 13 51  3 825 401211893
362 3.611000 13 51  3 855 401532022
366 3.651000 13 51  3 895 401852316
369 3.681000 13 51  3 925 402172182
372 3.711000 13 51  3 955 402172182
376 3.751000 13 51  3 995 402492216
379 3.781000 13 51  4  25 402972184
382 3.811000 13 51  4  55 403292267
386 3.851000 13 51  4  95 403612176
389 3.881000 13 51  4 125 404252194
392 3.911000 13 51  4 155 404572295
396 3.951000 13 51  4 195 404892408
399 3.981000 13 51  4 225 405212485
402 4.011000 13 51  4 255 405532653
406 4.051000 13 51  4 295 405852567
409 4.081000 13 51  4 325 406172680
412 4.111000 13 51  4 355 406172680
416 4.151000 13 51  4 395 406492947
419 4.181000 13 51  4 425 406972559
422 4.229000 13 51  4 472 408892898
426 4.262000 13 51  4 506 409212628
429 4.296000 13 51  4 540 409532753
432 4.329000 13 51  4 573 409852933
436 4.362000 13 51  4 606 410172968
439 4.396000 13 51  4 640 410172968
442 4.428000 13 51  4 672 410493509
446 4.463000 13 51  4 707 410973402
449 4.496000 13 51  4 740 411293470
452 4.528000 13 51  4 772 411612998
456 4.563000 13 51  4 808 412253161
459 4.596000 13 51  4 840 412573332
462 4.629000 13 51  4 873 412893400
466 4.662000 13 51  4 906 413213290
469 4.695000 13 51  4 939 413533584
472 4.729000 13 51  4 973 413853537
476 4.762000 13 51  5   6 414173590
479 4.796000 13 51  5  40 414173590
482 4.829000 13 51  5  73 414493658
486 4.862000 13 51  5 106 414973753
489 4.896000 13 51  5 140 415293788
492 4.929000 13 51  5 173 415613409
496 4.962000 13 51  5 206 416253591
499 4.996000 13 51  5 240 416574436
502 5.029000 13 51  5 273 416893850
506 5.063000 13 51  5 307 417213828
509 5.096000 13 51  5 340 417533938
512 5.128000 13 51  5 372 417853882
516 5.163000 13 51  5 408 418173977
519 5.196000 13 51  5 440 418173977
