File Created on  2/15, at 13:50:51:340
#Frame RunTime Hour Min Sec mSec AudTimeStmp
1 0.001000 13 51  0 245 0
2 0.011000 13 51  0 255 0
3 0.027000 13 51  0 271 0
4 0.031000 13 51  0 275 0
5 0.041000 13 51  0 285 0
6 0.052000 13 51  0 297 0
7 0.061000 13 51  0 305 0
8 0.071000 13 51  0 315 0
9 0.081000 13 51  0 325 0
10 0.091000 13 51  0 335 0
11 0.101000 13 51  0 345 0
12 0.111000 13 51  0 355 0
13 0.121000 13 51  0 365 0
14 0.131000 13 51  0 375 0
15 0.141000 13 51  0 385 0
16 0.151000 13 51  0 395 0
17 0.161000 13 51  0 405 0
18 0.171000 13 51  0 415 0
19 0.181000 13 51  0 425 0
20 0.191000 13 51  0 435 0
21 0.201000 13 51  0 445 0
22 0.211000 13 51  0 455 0
23 0.221000 13 51  0 465 0
24 0.231000 13 51  0 475 0
25 0.241000 13 51  0 485 0
26 0.251000 13 51  0 495 0
27 0.261000 13 51  0 505 0
28 0.271000 13 51  0 515 0
29 0.281000 13 51  0 525 0
30 0.301000 13 51  0 546 0
31 0.301000 13 51  0 546 0
32 0.310000 13 51  0 555 0
33 0.323000 13 51  0 567 0
34 0.331000 13 51  0 575 0
35 0.341000 13 51  0 585 0
36 0.354000 13 51  0 598 0
37 0.361000 13 51  0 605 0
38 0.371000 13 51  0 615 0
39 0.381000 13 51  0 625 0
40 0.392000 13 51  0 637 0
41 0.400000 13 51  0 645 0
42 0.411000 13 51  0 655 0
43 0.422000 13 51  0 666 0
44 0.430000 13 51  0 675 0
45 0.440000 13 51  0 685 0
46 0.455000 13 51  0 700 0
47 0.460000 13 51  0 705 0
48 0.470000 13 51  0 715 0
49 0.480000 13 51  0 725 0
50 0.497000 13 51  0 741 0
51 0.500000 13 51  0 745 0
52 0.510000 13 51  0 755 0
53 0.523000 13 51  0 768 0
54 0.530000 13 51  0 775 0
55 0.541000 13 51  0 785 0
56 0.555000 13 51  0 798 0
57 0.561000 13 51  0 805 0
58 0.571000 13 51  0 815 0
59 0.581000 13 51  0 825 0
60 0.596000 13 51  0 840 0
61 0.601000 13 51  0 845 0
62 0.611000 13 51  0 855 0
63 0.624000 13 51  0 868 0
64 0.631000 13 51  0 875 0
65 0.641000 13 51  0 885 0
66 0.657000 13 51  0 901 0
67 0.661000 13 51  0 905 0
68 0.671000 13 51  0 915 0
69 0.681000 13 51  0 925 0
70 0.702000 13 51  0 945 0
71 0.702000 13 51  0 946 0
72 0.711000 13 51  0 955 0
73 0.724000 13 51  0 968 0
74 0.731000 13 51  0 975 0
75 0.741000 13 51  0 985 0
76 0.754000 13 51  0 998 0
77 0.761000 13 51  1   5 0
